start_height,end_height,wallet_era,axis,value,share,in_set_lt10,in_set_lt100
954801,954944,Boltz (boltz-backend <9af5faa3),version,2,0.86441356172184,0.00048065647226143914,0.0031216148080074973
954945,955088,Boltz (boltz-backend <9af5faa3),version,2,0.8733169041245066,0.00048065647226143914,0.0031216148080074973
955089,955232,Boltz (boltz-backend <9af5faa3),version,2,0.8636286890852013,0.00048065647226143914,0.0031216148080074973
955233,955376,Boltz (boltz-backend <9af5faa3),version,2,0.860234998532918,0.00048065647226143914,0.0031216148080074973
955377,955520,Boltz (boltz-backend <9af5faa3),version,2,0.8452418449031016,0.00048065647226143914,0.0031216148080074973
955521,955664,Boltz (boltz-backend <9af5faa3),version,2,0.8661733141581088,0.00048065647226143914,0.0031216148080074973
955665,955808,Boltz (boltz-backend <9af5faa3),version,2,0.87401097293865,0.00048065647226143914,0.0031216148080074973
955809,955952,Boltz (boltz-backend <9af5faa3),version,2,0.8412979215135251,0.00048065647226143914,0.0031216148080074973
955953,956096,Boltz (boltz-backend <9af5faa3),version,2,0.8035724367425966,0.00048065647226143914,0.0031216148080074973
956097,956240,Boltz (boltz-backend <9af5faa3),version,2,0.8146558968629816,0.00048065647226143914,0.0031216148080074973
956241,956384,Boltz (boltz-backend <9af5faa3),version,2,0.8035467980295566,0.00048065647226143914,0.0031216148080074973
956385,956528,Boltz (boltz-backend <9af5faa3),version,2,0.8141954151115588,0.00048065647226143914,0.0031216148080074973
956529,956672,Boltz (boltz-backend <9af5faa3),version,2,0.8630769602403116,0.00048065647226143914,0.0031216148080074973
956673,956816,Boltz (boltz-backend <9af5faa3),version,2,0.875086395333809,0.00048065647226143914,0.0031216148080074973
956817,956960,Boltz (boltz-backend <9af5faa3),version,2,0.8267916921582982,0.00048065647226143914,0.0031216148080074973
956961,957104,Boltz (boltz-backend <9af5faa3),version,2,0.8263767033495888,0.00048065647226143914,0.0031216148080074973
957105,957248,Boltz (boltz-backend <9af5faa3),version,2,0.828557028874264,0.00048065647226143914,0.0031216148080074973
957249,957392,Boltz (boltz-backend <9af5faa3),version,2,0.8179023071348984,0.00048065647226143914,0.0031216148080074973
957393,957536,Boltz (boltz-backend <9af5faa3),version,2,0.8211661412271875,0.00048065647226143914,0.0031216148080074973
957537,957680,Boltz (boltz-backend <9af5faa3),version,2,0.8678663381030282,0.00048065647226143914,0.0031216148080074973
957681,957824,Boltz (boltz-backend <9af5faa3),version,2,0.8915258644143668,0.00048065647226143914,0.0031216148080074973
957825,957968,Boltz (boltz-backend <9af5faa3),version,2,0.8652278088639187,0.00048065647226143914,0.0031216148080074973
957969,958112,Boltz (boltz-backend <9af5faa3),version,2,0.8401814172798875,0.00048065647226143914,0.0031216148080074973
958113,958256,Boltz (boltz-backend <9af5faa3),version,2,0.81917006980212,0.00048065647226143914,0.0031216148080074973
958257,958400,Boltz (boltz-backend <9af5faa3),version,2,0.8170678863374563,0.00048065647226143914,0.0031216148080074973
958401,958544,Boltz (boltz-backend <9af5faa3),version,2,0.8347255485816137,0.00048065647226143914,0.0031216148080074973
958545,958688,Boltz (boltz-backend <9af5faa3),version,2,0.9081936252651144,0.00048065647226143914,0.0031216148080074973
958689,958832,Boltz (boltz-backend <9af5faa3),version,2,0.8916027951472184,0.00048065647226143914,0.0031216148080074973
958833,958976,Boltz (boltz-backend <9af5faa3),version,2,0.8630299478076419,0.00048065647226143914,0.0031216148080074973
958977,959120,Boltz (boltz-backend <9af5faa3),version,2,0.818765721693236,0.00048065647226143914,0.0031216148080074973
959121,959264,Boltz (boltz-backend <9af5faa3),version,2,0.8192482104710864,0.00048065647226143914,0.0031216148080074973
959265,959408,Boltz (boltz-backend <9af5faa3),version,2,0.882315535607355,0.00048065647226143914,0.0031216148080074973
959409,959552,Boltz (boltz-backend <9af5faa3),version,2,0.8315785684178315,0.00048065647226143914,0.0031216148080074973
959553,959696,Boltz (boltz-backend <9af5faa3),version,2,0.8894237482841025,0.00048065647226143914,0.0031216148080074973
959697,959840,Boltz (boltz-backend <9af5faa3),version,2,0.8814047246642576,0.00048065647226143914,0.0031216148080074973
959841,959984,Boltz (boltz-backend <9af5faa3),version,2,0.8310838388898165,0.00048065647226143914,0.0031216148080074973
959985,960128,Boltz (boltz-backend <9af5faa3),version,2,0.8435671850930474,0.00048065647226143914,0.0031216148080074973
960129,960272,Boltz (boltz-backend <9af5faa3),version,2,0.8436935068014106,0.00048065647226143914,0.0031216148080074973
960273,960416,Boltz (boltz-backend <9af5faa3),version,2,0.8179059826959404,0.00048065647226143914,0.0031216148080074973
939969,940112,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03739574729363264,0.0051771550869185124,0.03433348597231439
940113,940256,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.031281440804884604,0.0051771550869185124,0.03433348597231439
940257,940400,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.030763222208853008,0.0051771550869185124,0.03433348597231439
940401,940544,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03632087408267465,0.0051771550869185124,0.03433348597231439
940545,940688,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.032657877936532846,0.0051771550869185124,0.03433348597231439
940689,940832,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025891608246910718,0.0051771550869185124,0.03433348597231439
940833,940976,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03392053573332764,0.0051771550869185124,0.03433348597231439
940977,941120,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.034413763604391426,0.0051771550869185124,0.03433348597231439
941121,941264,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03063766491425844,0.0051771550869185124,0.03433348597231439
941265,941408,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03079567034219612,0.0051771550869185124,0.03433348597231439
941409,941552,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.030040169994760436,0.0051771550869185124,0.03433348597231439
941553,941696,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02109420703367536,0.0051771550869185124,0.03433348597231439
941697,941840,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01975173387059337,0.0051771550869185124,0.03433348597231439
941841,941984,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.031878402686695076,0.0051771550869185124,0.03433348597231439
941985,942128,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.028452628452628453,0.0051771550869185124,0.03433348597231439
942129,942272,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02773687329431607,0.0051771550869185124,0.03433348597231439
942273,942416,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.022670375038628874,0.0051771550869185124,0.03433348597231439
942417,942560,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02368892148706766,0.0051771550869185124,0.03433348597231439
942561,942704,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.015714492548304083,0.0051771550869185124,0.03433348597231439
942705,942848,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01596962203617745,0.0051771550869185124,0.03433348597231439
942849,942992,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02790475698642871,0.0051771550869185124,0.03433348597231439
942993,943136,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.028029859616579472,0.0051771550869185124,0.03433348597231439
943137,943280,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023339963848560134,0.0051771550869185124,0.03433348597231439
943281,943424,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.029139167336676635,0.0051771550869185124,0.03433348597231439
943425,943568,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.030075699107046456,0.0051771550869185124,0.03433348597231439
943569,943712,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.024832248270710334,0.0051771550869185124,0.03433348597231439
943713,943856,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01469759850923053,0.0051771550869185124,0.03433348597231439
943857,944000,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02741758445290582,0.0051771550869185124,0.03433348597231439
944001,944144,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.027821959610208283,0.0051771550869185124,0.03433348597231439
944145,944288,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023530586374795635,0.0051771550869185124,0.03433348597231439
944289,944432,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.026553154065602547,0.0051771550869185124,0.03433348597231439
944433,944576,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.027577818102055875,0.0051771550869185124,0.03433348597231439
944577,944720,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.021220214172738353,0.0051771550869185124,0.03433348597231439
944721,944864,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.014738173625764892,0.0051771550869185124,0.03433348597231439
944865,945008,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025549452903424814,0.0051771550869185124,0.03433348597231439
945009,945152,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02533414373408432,0.0051771550869185124,0.03433348597231439
945153,945296,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.028860663748460077,0.0051771550869185124,0.03433348597231439
945297,945440,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.022761554606597286,0.0051771550869185124,0.03433348597231439
945441,945584,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.028024932864965678,0.0051771550869185124,0.03433348597231439
945585,945728,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01652190275927574,0.0051771550869185124,0.03433348597231439
945729,945872,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.016455312650940367,0.0051771550869185124,0.03433348597231439
945873,946016,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02878043837094062,0.0051771550869185124,0.03433348597231439
946017,946160,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023270190384973615,0.0051771550869185124,0.03433348597231439
946161,946304,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03690808739187347,0.0051771550869185124,0.03433348597231439
946305,946448,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025075008133412055,0.0051771550869185124,0.03433348597231439
946449,946592,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025620832395789803,0.0051771550869185124,0.03433348597231439
946593,946736,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.016131617529200875,0.0051771550869185124,0.03433348597231439
946737,946880,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.018931559227080067,0.0051771550869185124,0.03433348597231439
946881,947024,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02260979663943813,0.0051771550869185124,0.03433348597231439
947025,947168,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.033570341712935235,0.0051771550869185124,0.03433348597231439
947169,947312,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03622183287097873,0.0051771550869185124,0.03433348597231439
947313,947456,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.030372988815605455,0.0051771550869185124,0.03433348597231439
947457,947600,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02311020218320223,0.0051771550869185124,0.03433348597231439
947601,947744,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.017576157257973304,0.0051771550869185124,0.03433348597231439
947745,947888,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02296888364972003,0.0051771550869185124,0.03433348597231439
947889,948032,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.022360485351259864,0.0051771550869185124,0.03433348597231439
948033,948176,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02842779214202963,0.0051771550869185124,0.03433348597231439
948177,948320,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025406340880301165,0.0051771550869185124,0.03433348597231439
948321,948464,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025917402310136457,0.0051771550869185124,0.03433348597231439
948465,948608,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01975148124528063,0.0051771550869185124,0.03433348597231439
948609,948752,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.016790938585007683,0.0051771550869185124,0.03433348597231439
948753,948896,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.015239293799408365,0.0051771550869185124,0.03433348597231439
948897,949040,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.021851760422131022,0.0051771550869185124,0.03433348597231439
949041,949184,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.021302692579288324,0.0051771550869185124,0.03433348597231439
949185,949328,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.021982305868084508,0.0051771550869185124,0.03433348597231439
949329,949472,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02269699418609213,0.0051771550869185124,0.03433348597231439
949473,949616,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025603799030250993,0.0051771550869185124,0.03433348597231439
949617,949760,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.05103440775009517,0.0051771550869185124,0.03433348597231439
949761,949904,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.022061710739995636,0.0051771550869185124,0.03433348597231439
949905,950048,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023085320108234414,0.0051771550869185124,0.03433348597231439
950049,950192,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.020353312031988813,0.0051771550869185124,0.03433348597231439
950193,950336,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02285543342457163,0.0051771550869185124,0.03433348597231439
950337,950480,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02552521330115883,0.0051771550869185124,0.03433348597231439
950481,950624,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.020497319207275943,0.0051771550869185124,0.03433348597231439
950625,950768,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.018886261098484732,0.0051771550869185124,0.03433348597231439
950769,950912,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01885234954634447,0.0051771550869185124,0.03433348597231439
950913,951056,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.018529592889099934,0.0051771550869185124,0.03433348597231439
